Sample_ID,Output_Name,Feature,Feature_Value,SHAP_Value
0,XMEAS(10),XMEAS(1),0.2410881122166823,0.0
0,XMEAS(10),XMEAS(2),0.568721725311984,0.005555848400499811
0,XMEAS(10),XMEAS(3),0.49069378594325647,0.016279553780765465
0,XMEAS(10),XMEAS(5),0.5217938222180551,-0.004435850014803337
1,XMEAS(10),XMEAS(1),0.24111479591374474,0.003750876660396385
1,XMEAS(10),XMEAS(2),0.5658371707472302,0.007102569002238571
1,XMEAS(10),XMEAS(3),0.4893927422856394,0.0028785817080381852
1,XMEAS(10),XMEAS(5),0.5194702978094555,-0.010095932740908588
2,XMEAS(10),XMEAS(1),0.2415536971082087,-0.003923465457318472
2,XMEAS(10),XMEAS(2),0.5653981606745244,0.003204562173719371
2,XMEAS(10),XMEAS(3),0.4889870450968592,0.0025219998911473742
2,XMEAS(10),XMEAS(5),0.5181775323468456,0.00204724691786142
3,XMEAS(10),XMEAS(1),0.24226658519061697,0.0
3,XMEAS(10),XMEAS(2),0.5661912359725124,0.008643083075034108
3,XMEAS(10),XMEAS(3),0.4893982959734528,0.014578228571129172
3,XMEAS(10),XMEAS(5),0.5180364653971996,0.004954998714268385
4,XMEAS(10),XMEAS(1),0.2431910004133024,0.005300220812272994
4,XMEAS(10),XMEAS(2),0.5684653145243982,0.0052113360399777195
4,XMEAS(10),XMEAS(3),0.49006104093755737,0.011674354030338212
4,XMEAS(10),XMEAS(5),0.5176272406056224,0.00773770963943332
5,XMEAS(10),XMEAS(1),0.24424583537904063,0.0041799756583219775
5,XMEAS(10),XMEAS(2),0.5718028390615397,0.004538509613453165
5,XMEAS(10),XMEAS(3),0.49075735885650235,0.010451574066319247
5,XMEAS(10),XMEAS(5),0.5171500796587357,0.006671268865583741
6,XMEAS(10),XMEAS(1),0.24533679101309722,0.0041765296884410065
6,XMEAS(10),XMEAS(2),0.5757928584600797,-0.001630249145699098
6,XMEAS(10),XMEAS(3),0.4915693037393551,-0.0038486150542191917
6,XMEAS(10),XMEAS(5),0.517562519144166,0.005098855042654799
7,XMEAS(10),XMEAS(1),0.24661965417228304,0.005823120301500209
7,XMEAS(10),XMEAS(2),0.5800513515325713,0.0013703925695868705
7,XMEAS(10),XMEAS(3),0.4924188486396417,0.001405434565177514
7,XMEAS(10),XMEAS(5),0.5172352363032201,0.007427850156375326
8,XMEAS(10),XMEAS(1),0.24802835692070266,0.0072277369287039525
8,XMEAS(10),XMEAS(2),0.5830256141284824,-0.003817398921462125
8,XMEAS(10),XMEAS(3),0.4927387247085525,0.0026293057993797926
8,XMEAS(10),XMEAS(5),0.5164609111734108,0.006299682634666369
9,XMEAS(10),XMEAS(1),0.24937525174305183,0.0043380123348845025
9,XMEAS(10),XMEAS(2),0.5855579043608085,0.0019182841062972758
9,XMEAS(10),XMEAS(3),0.49271929368662143,0.008106631874143181
9,XMEAS(10),XMEAS(5),0.5151243335189204,0.010840272561387837
10,XMEAS(10),XMEAS(1),0.25042401258606006,0.003917795410123727
10,XMEAS(10),XMEAS(2),0.5865293263537739,0.003842814900082699
10,XMEAS(10),XMEAS(3),0.49220725094280765,0.007252967670190246
10,XMEAS(10),XMEAS(5),0.5154780895322496,0.0038172307187343373
11,XMEAS(10),XMEAS(1),0.2509711473573727,0.005568327878685652
11,XMEAS(10),XMEAS(2),0.5865883585999282,-0.0033016409846908816
11,XMEAS(10),XMEAS(3),0.4913888641739007,0.0006235251990386175
11,XMEAS(10),XMEAS(5),0.5163841662034547,0.003019680525622767
12,XMEAS(10),XMEAS(1),0.2509440839230929,0.0016142311715914596
12,XMEAS(10),XMEAS(2),0.5861373342824906,0.002832889120851405
